Stellar JD,Ra,_Dec_,Teff,logg,[M/H],[FeI/H]  stdev,[FeII/H]  stdev,vt,#FeI lines,#FeII lines
PM J00329+1805,00:32:55.00,18:05:52.00,4680,2.20,-1.66,-1.67 0.16,-1.67 0.15,2.63,85,2
PM J00422+0731E,00:42:15.00,07:31:18.00,5064,4.59,-1.05,-1.03 0.10,-0.95 0.05,0.75,132,2
PM J01227+1409,01:22:43.00,14:09:34.00,5707,3.90,-0.82, -0.81 0.10, -0.78 0.06,0.76,131,15
PM J01266-4842W,01:26:37.00,-48:42:51.0,4680,1.74,-1.47,-1.48 0.15,-1.50 0.18,2.43,40,3
NLTT 4817,01:26:55.00,12:00:25.00,5632,3.82,-1.71,-1.71 0.09,-1.71 0.07,1.11,109,10
PM J01352+0538N,01:35:14.00,05:38:24.00,5353,4.28,-0.42,-0.49 0.12,-0.55 0.11,0.26,137,11
PM J01430-4959W,01:43:00.00,-49:59:26.8,4909,4.21,-1.28,-1.29 0.14,-1.32 0.12,0.58,115,6
PM J02225+1531S,02:22:34.00,15:31:09.00,5308,4.34,-1.52,-1.50 0.10,-1.57 0.07,0.75,73,5
PM J02569-5831N,02:56:55.00,-58:31:24.3,4909,3.04,-0.98,-1.00 0.17,-0.97 0.15,1.81,102,4
PM J03256-3333E,03:25:41.00,-33:33:34.6,4674,4.60,-0.95,-0.97 0.20,-0.94 0.00,1.33,90,2
NLTT 12296,03:59:04.00,-06:56:03.2,4537,4.25,-0.99,-1.08 0.11,-1.10 0.02,0.35,119,2
PM J04099+0942E,04:09:54.00,09:42:58.00,4935,4.32,-1.49,-1.51 0.14,-1.50 0.04,0.01,127,3
PM J04254-4601,04:25:28.00,-46:01:23.9,5008,4.28,-1.46,-1.44 0.09,-1.38 0.21,0.95,70,2
PM J04327+0820,04:32:45.00,08:20:05.00,5372,3.94,-1.59,-1.60 0.12,-1.60 0.08,1.14,125,8
NLTT 14407,05:02:20.00,-19:32:04.4,4911,3.16,-1.21,-1.24 0.19,-1.22 0.04,2.05,134,3
PM J05137+0647W,05:13:46.00,06:47:01.00,5398,4.00,-0.38,-0.58 0.08,-0.51 0.09,0.17,101,5
PM J05195+0903E,05:19:34.00,09:03:46.00,5021,4.07,-1.86,-1.87 0.12,-1.89 0.15,0.74,137,4
PM J05484-3617Nn,05:48:28.00,-36:17:06.7,8451,4.34,-1.05,-1.12 0.12,-1.22 0.02,0.08,167,3
PM J06032+1921N,06:03:14.00,19:21:38.00,5507,4.30,-1.08,-1.11 0.12,-1.16 0.04,1.06,115,5
PM J06050+0723S,06:05:03.00,07:23:30.00,5444,4.25,-1.10,-1.12 0.13,-1.15 0.10,0.94,180,12
NLTT 16364,06:19:39.00,-30:30:50.9,5019,4.11,-1.52,-1.54 0.12,-1.55 0.13,0.01,180,5
PM J08152-6337,08:15:17.00,-63:37:18.4,4811,4.34,-0.37,-0.38 0.19,-0.30 0.09,1.66,152,3
PM J08239-7549W,08:23:54.00,-75:49:34.3,5094,4.41,0.05,0.05 0.13,0.05 0.13,0.23,130,11
PM J08386-3856,08:38:36.00,-38:56:55.7,4977,4.60,-0.30,-0.27 0.14,-0.29 0.17,0.64,242,8
NLTT 22848,09:52:58.00,-27:19:55.82,6019,3.89,0.23,0.22 0.16,0.25 0.14,1.22,241,20
PM J09502+0509E,09:50:13.00,05:09:02.00,4972,4.27,-0.79,-0.80 0.11,-0.86 0.11,0.16,246,13
NLTT 25551,10:52:01.00,15:21:08.00,4227,3.75,-1.18,-1.22 0.16,-1.25 0.13,0.07,127,2
PM J10105+1203W,10:10:34.00,12:03:17.00,5143,4.38,-0.76,-0.77 0.11,-0.81 0.11,0.05,153,7
PM J1110-4414,11:11:04.00,-44:14:15.9,5337,3.98,-1.38,-1.38 0.14,-1.39 0.07,1.77,129,3
NLTT 27188,11:22:26.00,-27:13:35.2,5623,3.90,-1.73,-1.73 0.10,-1.72 0.10,0.87,176,13
PM J11392-4118N,11:39:12.00,-41:18:15.1,4605,2.57,-1.33,-1.33 0.20,-1.32 0.20,2.11,100,4
PM J11584-4155E,11:58:27.00,-41:55:19.3,4964,4.36,-0.66,-0.71 0.13,-0.73 0.10,0.39,279,18
PM J12237+0625,12:23:43.00,06:25:10.00,4609,4.28,-0.82,-0.89 0.16,-1.00 0.03,0.89,173,3
PM J12277+1334,12:27:43.00,13:34:16.00,4807,2.55,-1.62,-1.67 0.16,-1.63 0.35,2.69,96,2
PM J13167+0810E,13:16:47.00,08:10:27.00,4994,4.73,-0.29,-0.32 0.15,-0.32 0.13,0.42,226,9
PM J14124+0517S,14:12:28.00,05:17:28.00,5138,4.24,-0.88,-0.89 0.13,-0.91 0.12,0.08,223,16
PM J14136-3634E,14:13:41.00,-36:34:39.2,4574,4.27,-1.34,-1.36 0.17,-1.31 0.20,0.66,107,2
PM J14475+1134,14:47:35.00,11:34:13.00,5216,4.37,-0.66,-0.69 0.12,-0.70 0.05,0.03,166,6
PM J16008+0146E,16:00:53.00,01:46:16.00,4924,4.44,-0.89,-0.91 0.12,-0.98 0.29,1.08,142,4
PM J16519-4806N,16:51:58.00,-48:06:13.7,5008,4.04,-2.01,-2.02 0.15,-2.01 0.01,2.48,75,2
PM J17135+1909,17:13:30.00,19:09:57.00,5247,4.48,-0.15,-0.18 0.16,-0.13 0.17,0.82,199,8
PM J19207+0506S,19:20:46.00,05:06:26.00,5753,4.12,-0.93,-0.96 0.15,-0.96 0.08,0.82,154,13
NLTT 49474,20:34:31.00,-22:19:24.3,5663,3.97,-0.84,-0.84 0.11,-0.88 0.09,0.76,281,21
PM J20487+1406,20:48:42.00,14:06:59.00,5153,3.53,0.16,0.16 0.16,0.16 0.10,1.15,246,13
NLTT 52532,21:57:35.00,-03:28:09.2,4378,2.17,-2.40,-2.39 0.17,-2.42 0.15,2.45,91,4
PM J22487-5613W,22:48:44.00,-56:13:37.0,4933,4.60,0.12,0.06 0.15,0.07 0.16,0.56,289,14
PM J23033-5311,23:03:23.00,-53:11:23.1,5657,3.97,-1.13,-1.13 0.12,-1.14 0.09,1.01,195,12
