PriID,PriRA,PriRAdeg,PriDec,PriDecdeg,PripmRA,PripmDEC,PriV,PriV-J,SecID,SecRA,SecRAdeg,SecDec,SecDecdeg,SecpmRA,SecpmDEC,SecV,SecV-J,Sep,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
PMI12508+0757,12:50:48.80,192.70333333333335,+07:57:56.7,7.965750000000001,0.047,-0.163,10.84,1.27,PMI12507+0758,12:50:47.08,192.69616666666664,+07:58:08.0,7.96888888888889,0.027,-0.151,18.14,3.89,28.0,192.69617246799,7.96886171867,0.0019892,0.0012699,126.73,3709811781839099520,192.69637728395,0.0715,7.96813709122,0.0429,5.9844,0.0807,74.2013,169.308,45.639,0.112,-163.041,0.098,394,-0.4432,394.05,0.0,0.0,31,,,18,0.983,false,2946.25,2.00025,17.014194,583.255,9.06024,18.423897,3608.27,15.854649,1.423,2.569248,,,0,,,117561926963012645,1237661972262617214,,490166058,0.002852,0.017095,0.005247,17.014194,0.002852,2946.25,0.006,1.7659,1.5656,-0.4064,0.099976
PMI13116+1106,13:11:41.81,197.92420833333335,+11:06:24.8,11.10688888888889,-0.102,-0.122,12.89,1.06,PMI13116+1105,13:11:32.30,197.88458333333335,+11:05:40.7,11.09463888888889,-0.106,-0.114,17.83,2.8,146.8,197.88461701756,11.09467134214,0.0021049,0.0012875,136.39,3735993833755728512,197.88408689669,0.0653,11.09417394178,0.0468,2.0333,0.0775,26.223,161.942,-117.048,0.11,-111.915,0.112,555,-1.0071,540.38,0.0,0.0,31,,,15,0.969,false,2984.82,1.47178,17.000072,1051.96,7.81372,17.78354,2794.91,16.131977,1.289,1.651564,,,0,,,121311978842963712,1237661815488839790,,506166021,0.002807,0.008534,0.005198,17.000072,0.002807,2984.82,0.0,1.7254,1.7639,-0.4551,0.166763
NLTT33282,13:13:09.08,198.28783333333334,-07:42:15.2,-7.704222222222223,-0.163,-0.196,15.04,2.15,NLTT33283,13:13:09.60,198.29000000000002,-07:42:07.8,-7.702166666666667,-0.159,-0.19,15.6,2.4,10.0,198.28999918131,-7.70216342107,6.642E-4,3.93E-4,105.39,3628318900565662848,198.28927688273,0.03,-7.70305269202,0.0205,4.2042,0.0365,115.2957,256.85,-161.051,0.04,-200.086,0.026,435,1.2288,474.88,0.07,1.063,31,,,16,1.041,false,14632.1,3.94173,15.2741,4868.67,11.0602,16.120016,14226.7,14.365133,1.305,1.754883,,,0,,,98751982895817225,,107320187,412116094,0.002771,0.003724,0.00416,15.2741,0.002771,14632.1,0.003,0.6489,0.4179,-0.2706,0.012044
PMI13133-4153N,13:13:20.50,198.33541666666667,-41:53:14.0,-41.88722222222222,-0.145,-0.044,13.65,2.07,PMI13133-4153S,13:13:21.15,198.338125,-41:53:29.2,-41.891444444444446,-0.145,-0.044,18.22,3.52,16.8,198.33813485416,-41.89147290965,0.0016448,0.0011377,90.57,6137513527321649280,198.3373457829,0.0851,-41.89163226169,0.058,6.0003,0.0895,67.0655,136.94,-132.163,0.101,-35.854,0.071,252,1.6021,297.21,0.163,0.624,31,,,17,1.072,false,2325.95,2.38431,17.270866,517.207,10.4461,18.554382,2702.48,16.168491,1.384,2.385891,,,0,,,,,95586956,,0.002972,0.022106,0.005454,17.270866,0.002972,2325.95,-0.006,1.6447,1.1378,-0.0075,0.105823
PMI13167+0810E,13:16:47.28,199.197,+08:10:27.4,8.174277777777778,0.189,-0.146,11.16,1.66,PMI13167+0810W,13:16:45.12,199.188,+08:10:21.5,8.172638888888889,0.186,-0.13,18.47,4.08,32.7,199.18799076857,8.17263647542,0.0025988,0.0011827,117.11,3731530091424109056,199.18885319143,0.1013,8.17200516608,0.0802,11.9643,0.1211,98.8242,238.892,192.074,0.149,-142.045,0.102,354,0.9517,417.73,0.216,0.6635,31,,,16,1.035,false,1690.4,1.98473,17.617395,203.901,10.7599,19.564991,2435.52,16.281418,1.561,3.283573,,,0,,,117801991885177168,1237661972802306340,,491172838,0.003036,0.057363,0.00655,17.617395,0.003036,1690.4,0.039,2.3752,1.5846,-0.5772,0.034024
PMI13372-4244E,13:37:14.25,204.30937500000002,-42:44:54.8,-42.748555555555555,0.129,-0.104,17.35,2.51,PMI13372-4244W,13:37:13.54,204.30641666666668,-42:44:54.4,-42.748444444444445,0.129,-0.104,19.43,3.31,7.8,204.30635327527,-42.74825581321,0.004004,0.0033623,148.45,6111802268244159488,204.30673207511,0.1902,-42.7486899926,0.1932,1.807,0.2499,7.2314,116.02,62.588,0.217,-97.69,0.232,230,0.716,251.3,0.15,0.09256,95,1.3924,0.053,15,1.033,false,621.679,1.37166,18.703451,170.912,8.84324,19.756613,658.584,17.701366,1.334,2.055246,,,0,,,,,,,0.003651,0.056247,0.013905,18.693679,0.003637,627.3,-0.008,3.5495,3.839,-0.1547,0.699445
PMI14055+0244S,14:05:30.97,211.3790416666667,+02:44:23.4,2.7398333333333333,-0.055,-0.131,15.45,2.04,PMI14055+0244N,14:05:31.65,211.38187499999998,+02:44:35.1,2.7430833333333333,-0.055,-0.131,20.6,4.1,15.5,211.38182827743,2.74322521601,0.005577,0.0038337,96.15,3667467115151048064,211.3815691886,0.2796,2.74259748957,0.2046,2.7206,0.2912,9.3422,152.771,-58.228,0.348,-141.238,0.242,220,-0.0208,232.79,0.0,0.0,95,1.2562,0.073,15,0.997,false,398.892,1.28035,19.185228,75.09,7.68594,20.649588,482.935,18.038174,1.399,2.611414,,,0,,,111292113816221686,1237651754560913615,,464136946,0.004443,0.111167,0.029337,19.165656,0.004394,406.148,-0.024,5.5601,3.8581,-0.0814,0.537699
PMI14124+0517S,14:12:28.75,213.11979166666669,+05:17:28.5,5.29125,-0.053,-0.172,13.29,1.39,PMI14124+0517N,14:12:28.04,213.11683333333332,+05:17:40.1,5.294472222222222,-0.053,-0.172,19.57,3.78,15.7,213.11681983258,5.29446833534,0.0032281,0.0026151,82.44,3671276613704368384,213.1165237169,0.1763,5.29366495491,0.1403,3.9262,0.2072,18.9482,192.55,-66.342,0.201,-180.761,0.164,172,-0.018,173.91,0.151,0.123,31,,,13,0.997,false,837.378,2.14666,18.380062,169.244,12.2144,19.767258,969.306,17.281742,1.36,2.485516,,,0,,,114352131166313236,1237651823781871636,,477156136,0.003916,0.078408,0.015487,18.380062,0.003916,837.378,-0.045,3.2185,2.6269,0.0553,0.050378
PMI14136-3634E,14:13:41.61,213.423375,-36:34:39.2,-36.577555555555556,-0.03,-0.166,15.27,2.12,PMI14136-3634W,14:13:40.94,213.42058333333335,-36:34:43.6,-36.57877777777778,-0.03,-0.166,17.91,2.68,9.1,213.42066275341,-36.5787889458,0.0017499,0.0014489,84.31,6118076463848580224,213.42040499748,0.0819,-36.57965785469,0.0696,3.5356,0.0866,40.8103,200.975,-46.572,0.109,-195.504,0.091,180,-1.879,152.97,0.0,0.0,95,1.3522,0.0219,14,0.899,false,2219.31,2.43982,17.321823,660.471,11.5661,18.288908,2296.25,16.345346,1.332,1.943562,,,0,,,,,100022491,,0.003003,0.019217,0.00564,17.313976,0.002999,2235.41,0.005,1.7472,1.4522,0.0375,0.233092
PMI14475+1134,14:47:35.80,221.89916666666664,+11:34:13.7,11.570472222222222,-0.049,-0.172,13.05,1.67,PMI14476+1134,14:47:36.16,221.90066666666667,+11:34:36.3,11.57675,-0.049,-0.172,20.37,3.25,23.1,221.90084403633,11.57642705051,0.0051544,0.0039593,86.95,1175399061331876224,221.90078542688,0.2552,11.57584141479,0.2213,1.5,0.3014,4.9763,132.4,-12.919,0.322,-131.768,0.246,204,1.0136,229.17,0.666,1.017,31,,,14,1.05,false,460.153,1.24174,19.030111,125.032,8.75829,20.095987,498.864,18.00294,1.356,2.093048,,,0,,,121892219007971813,1237662636367544658,,508176748,0.004022,0.076105,0.027624,19.030111,0.004022,460.153,0.008,5.1514,3.9632,0.0283,1.320221
PMI15413+1349N,15:41:19.36,235.33066666666664,+13:49:28.5,13.824583333333333,-0.19,-0.529,14.73,2.63,PMI15413+1349S,15:41:19.36,235.33066666666664,+13:49:23.6,13.823222222222222,-0.19,-0.529,16.76,3.19,4.0,235.33076785276,13.82324302915,9.057E-4,8.288E-4,79.84,1194062450875652736,235.32987739884,0.0402,13.82086089776,0.0369,9.829,0.0472,208.1971,570.196,-194.549,0.057,-535.98,0.053,274,1.3956,314.73,0.125,1.062,31,,,18,1.06,false,6150.43,3.9597,16.215103,1321.1,12.0798,17.536207,7416.49,15.072399,1.421,2.463808,,,0,,,124582353301036259,1237668365312196685,,520191536,0.002843,0.010312,0.004517,16.215103,0.002843,6150.43,0.019,0.9034,0.8313,0.0308,0.361564
PMI16008+0146E,16:00:53.85,240.22437500000004,+01:46:16.5,1.77125,-0.155,-0.132,13.25,1.98,PMI16008+0146W,16:00:53.48,240.22283333333337,+01:46:19.4,1.7720555555555555,-0.155,-0.132,17.91,3.53,6.2,240.22283431748,1.77206790218,0.0013092,0.0010403,95.04,4412485748771818752,240.22212362253,0.0643,1.77147507706,0.0527,6.479,0.0766,84.607,208.176,-159.83,0.082,-133.386,0.066,238,-0.5385,231.62,0.0,0.0,31,,,17,0.974,false,3059.18,2.45768,16.973354,729.458,12.8739,18.181042,3577.62,15.863912,1.408,2.31713,,,0,,,110122402222346344,1237651736857018678,,459152262,0.00289,0.019364,0.005855,16.973354,0.00289,3059.18,0.028,1.3073,1.0426,-0.0405,0.044589
PMI16519-4806N,16:51:58.19,252.9924583333333,-48:06:13.7,-48.10380555555555,-0.15,-0.109,15.02,1.93,PMI16519-4806S,16:51:57.91,252.99129166666668,-48:06:19.2,-48.105333333333334,-0.15,-0.109,17.31,3.09,6.2,252.99146220788,-48.10545592677,0.0038346,0.0030498,66.01,5939345866619921792,252.99142562533,0.1652,-48.10548780165,0.1194,-0.1113,0.1866,-0.5963,9.036,-5.496,0.23,-7.172,0.196,333,-3.0573,346.15,0.195,0.1975,95,1.0874,0.0416,20,0.882,false,607.382,1.21983,18.728712,65.7938,4.87877,20.79308,942.055,17.312706,1.659,3.480373,,,0,,,,,,,0.003514,0.080558,0.014319,18.703121,0.003482,621.868,0.109,3.7163,3.1929,0.1692,0.602374
PMI17135+1909,17:13:30.36,258.3765,+19:09:57.2,19.16588888888889,-0.116,-0.153,10.94,1.35,PMI17134+1910,17:13:29.74,258.3739166666667,+19:10:10.0,19.169444444444444,-0.124,-0.133,15.8,3.08,15.5,258.37393477831,19.16942939616,3.817E-4,2.927E-4,148.75,4560610099846214784,258.37341005814,0.0174,19.16874116588,0.018,9.1692,0.0271,338.9674,190.827,-111.516,0.02,-154.852,0.022,662,1.9978,748.51,0.031,0.2217,31,,,25,1.055,false,12990.7,4.34107,15.403285,2638.55,11.9845,16.78513,15933.2,14.242141,1.43,2.542989,,,0,,,131002583736013338,,,546211368,0.002779,0.005666,0.003881,15.403285,0.002779,12990.7,0.017,0.3191,0.3599,-0.2317,0.082023
PMI19207+0506S,19:20:46.74,290.19475,+05:06:26.5,5.1073611111111115,-0.06,-0.149,11.45,1.34,PMI19207+0506N,19:20:46.08,290.192,+05:06:38.5,5.110694444444444,-0.058,-0.14,17.42,2.96,15.4,290.19200200143,5.11068301411,0.0016953,0.0013083,108.61,4292904891389224064,290.1917371055,0.074,5.11000895766,0.0684,4.9772,0.0906,54.9336,162.867,-59.365,0.103,-151.663,0.084,195,1.5305,231.39,0.257,1.727,31,,,15,1.078,false,2825.71,2.85479,17.059547,689.942,14.7904,18.24151,3334.4,15.94035,1.424,2.301161,,,0,,,114132901917812569,,,476394974,0.002966,0.023442,0.006414,17.059547,0.002966,2825.71,0.047,1.66,1.3528,-0.1566,0.04177
PMI19420+2014S,19:42:00.86,295.5035833333334,+20:14:05.0,20.23472222222222,-0.096,-0.125,15.83,2.12,PMI19420+2014N,19:42:00.88,295.5036666666666,+20:14:10.3,20.236194444444443,-0.096,-0.125,16.11,2.98,5.3,295.50366434777,20.23622438955,5.563E-4,4.641E-4,5.01,1825707962359560576,295.50325978483,0.0217,20.235690452,0.0262,7.5956,0.034,223.1526,147.401,-85.408,0.029,-120.136,0.035,409,-0.193,412.49,0.0,0.0,31,,,23,0.992,false,8971.62,4.74137,15.805189,1837.54,7.21578,17.177948,10939.5,14.6504,1.424,2.527548,,,0,,,132282955034463621,,,552435864,0.002814,0.005095,0.004083,15.805189,0.002814,8971.62,0.013,0.4649,0.5556,0.0317,0.108087
PMI20072-3519E,20:07:13.51,301.80629166666665,-35:19:50.0,-35.330555555555556,-0.028,-0.187,15.73,1.78,PMI20072-3519W,20:07:13.20,301.805,-35:19:52.8,-35.33133333333333,-0.028,-0.187,16.22,3.02,4.6,301.80505890864,-35.33131440713,7.109E-4,5.094E-4,104.27,6697813554641159808,301.80492790989,0.0346,-35.33206644114,0.0275,7.1497,0.0387,184.84,170.908,-24.046,0.044,-169.208,0.033,281,-0.649,270.34,0.0,0.0,31,,,18,0.971,false,8386.85,4.82279,15.878369,1704.47,11.807,17.25957,10263.7,14.719631,1.427,2.539938,,,0,,,,,233295961,,0.002825,0.008022,0.004152,15.878369,0.002825,8386.85,0.014,0.7003,0.5239,-0.1601,0.185945
PMI20343+1151,20:34:22.72,308.5946666666667,+11:51:59.5,11.866527777777778,-0.144,-0.203,12.49,1.87,PMI20343+1152,20:34:22.56,308.594,+11:52:03.3,11.867583333333334,-0.144,-0.203,15.53,3.0,4.4,308.5939871119,11.86758067691,5.559E-4,4.073E-4,106.0,1755450376231334784,308.59333285952,0.021,11.86665691664,0.0165,6.5064,0.031,209.5994,252.89,-144.06,0.034,-207.846,0.026,351,-0.2681,339.45,0.0,0.0,31,,,17,0.989,false,18421.3,7.97605,15.024069,4860.43,34.4976,16.121857,21222.1,13.930923,1.416,2.190934,,,0,,,122243085936320952,,,,0.002795,0.008196,0.004469,15.024069,0.002795,18421.3,0.054,0.5461,0.4205,-0.1652,0.046402
NLTT49474,20:34:31.48,308.6311666666667,-22:19:24.3,-22.323416666666667,0.143,-0.108,11.12,1.24,NLTT49477,20:34:33.49,308.6395416666666,-22:17:59.7,-22.299916666666668,0.155,-0.119,18.19,3.4,89.1,308.63952071236,-22.29989709424,0.0015582,9.846E-4,61.96,6855772006428966016,308.64022488765,0.0818,-22.30038962275,0.0549,5.7291,0.0962,59.5745,183.764,146.59,0.09,-110.819,0.071,379,0.1475,395.98,0.112,0.2771,31,,,18,1.005,false,1984.54,1.75899,17.44322,369.815,8.40162,18.918581,2455.33,16.272621,1.424,2.64596,,,0,,,81243086399220128,,236384678,,0.002919,0.024824,0.005433,17.44322,0.002919,1984.54,-0.005,1.4511,1.1365,0.3669,0.099176
PMI20487+1406,20:48:42.08,312.17533333333336,+14:06:59.1,14.116416666666666,0.11,-0.051,14.89,1.72,PMI20487+1407,20:48:42.78,312.17825000000005,+14:07:01.3,14.117027777777778,0.11,-0.051,19.37,3.34,10.3,312.17821916787,14.11702205676,0.0026251,0.0017092,56.58,1761443539235731200,312.17863156717,0.1104,14.11680726911,0.0807,3.8749,0.1463,26.494,102.143,89.988,0.146,-48.327,0.124,850,-0.2696,871.41,0.0,2.765E-15,31,,,21,0.993,false,796.226,0.882377,18.434776,200.042,6.29371,19.58574,910.933,17.34918,1.395,2.236559,,,0,,,124943121785110789,,,521613269,0.003007,0.034273,0.008589,18.434776,0.003007,796.226,0.027,2.3847,2.0312,0.3768,0.109596
PMI21175-4142E,21:17:32.29,319.3845416666667,-41:42:17.3,-41.70480555555555,0.013,-0.157,13.89,1.74,PMI21175-4142W,21:17:31.42,319.3809166666666,-41:42:21.2,-41.705888888888886,0.013,-0.157,17.64,2.84,10.5,319.38089531991,-41.70589697503,0.0014935,8.885E-4,38.71,6580558576637233280,319.38092394672,0.0604,-41.70647054911,0.0553,2.1212,0.0798,26.5876,129.144,4.809,0.073,-129.054,0.08,379,1.1004,423.78,0.133,0.5446,31,,,20,1.04,false,2467.1,1.76392,17.206902,655.799,9.51023,18.296616,2771.3,16.141188,1.389,2.155428,,,0,,,,,488309328,,0.002863,0.01599,0.005415,17.206902,0.002863,2467.1,0.032,1.1632,1.2911,0.4683,0.064335
PMI21442+0102N,21:44:15.64,326.06516666666664,+01:02:09.1,1.0358611111111111,-0.061,-0.248,13.8,1.71,PMI21442+0102S,21:44:15.92,326.0663333333333,+01:02:03.3,1.0342500000000001,-0.061,-0.248,16.36,2.88,7.2,326.06638419451,1.0342521661,8.423E-4,5.411E-4,63.81,2693284484204322944,326.06608152722,0.0414,1.03312343503,0.0334,5.5833,0.0463,120.6655,262.934,-68.089,0.048,-253.964,0.036,526,-1.0598,505.07,0.0,0.0,31,,,15,0.967,false,8844.51,2.8237,15.820683,2389.59,10.9618,16.892735,9666.79,14.78469,1.363,2.108045,,,0,,,109243260661740655,1237656239009169609,16041551,456463012,0.002777,0.005709,0.0042,15.820683,0.002777,8844.51,0.013,0.7927,0.6115,0.3405,0.183236
PMI21536+0010S,21:53:39.95,328.41645833333337,+00:10:20.8,0.17244444444444446,-0.061,-0.158,14.35,2.12,PMI21536+0010N,21:53:39.98,328.4165833333333,+00:10:37.2,0.177,-0.061,-0.158,19.87,3.66,16.4,328.41658149319,0.17684046748,0.0045319,0.0029655,66.1,2681018091966250368,328.41633176801,0.1884,0.17609836022,0.1593,2.1358,0.2502,8.5346,176.174,-56.188,0.266,-166.974,0.202,188,0.956,210.41,0.199,0.184,31,,,12,1.049,false,730.854,1.60078,18.52779,179.548,11.7661,19.703089,806.231,17.481747,1.349,2.221342,,,0,,,108213284164072122,1237663479256646140,16092483,451530430,0.00364,0.071205,0.018342,18.52779,0.00364,730.854,-0.017,4.3141,3.2743,0.3079,0.574355
NLTT52532,21:57:35.98,329.3999166666667,-03:28:09.2,-3.469222222222222,0.169,-0.125,14.9,1.98,NLTT52538,21:57:37.93,329.4080416666667,-03:28:32.3,-3.4756388888888887,0.169,-0.125,18.86,3.22,37.3,329.40798630645,-3.47566731359,0.0033428,0.0019687,45.46,2670311082094344192,329.40873447186,0.1376,-3.47625589952,0.1401,4.6397,0.17,27.2972,213.943,168.028,0.17,-132.432,0.167,190,-1.1762,177.94,0.0,1.482E-15,95,1.3079,0.0367,14,0.938,false,1052.17,1.75693,18.13215,282.007,14.6688,19.212894,1171.71,17.07585,1.382,2.137045,,,0,,,103823294084329182,1237680191509102827,5509051,433450789,0.003298,0.056544,0.010422,18.120939,0.003288,1063.09,0.028,2.7539,2.7325,0.4849,0.223706
PMI22296+0620,22:29:41.07,337.42112499999996,+06:20:02.8,6.3341111111111115,0.116,-0.021,13.87,2.45,PMI22297+0620W,22:29:42.75,337.428125,+06:20:09.0,6.335833333333334,0.092,-0.026,18.8,3.5,25.9,337.42818713982,6.33585699854,0.0038756,0.0029687,65.93,2709359279777195008,337.42869445452,0.1749,6.33568332087,0.1567,4.7756,0.1872,25.5047,119.99,113.449,0.234,-39.078,0.193,185,-0.1701,189.28,0.0,0.0,31,,,13,0.989,false,842.785,1.82663,18.373075,118.965,6.57932,20.149992,1138.84,17.106737,1.492,3.043255,,,0,,,115603374284753375,1237669762260926529,,482561572,0.003623,0.060111,0.01271,18.373075,0.003623,842.785,0.005,3.74,3.1378,0.197,0.238101
PMI22487-5613W,22:48:44.33,342.18470833333333,-56:13:37.0,-56.22694444444444,0.145,-0.067,12.59,1.6,PMI22487-5613E,22:48:45.54,342.18975,-56:13:44.0,-56.22888888888889,0.145,-0.067,16.67,3.41,12.3,342.18971003316,-56.22886900813,5.194E-4,4.229E-4,145.41,6505766359742251648,342.19043778918,0.0212,-56.22907790344,0.0245,5.7834,0.0337,171.3998,102.441,91.022,0.028,-47.001,0.031,525,2.7006,634.68,0.119,2.106,31,,,25,1.084,false,8975.27,3.6014,15.804748,2128.76,9.82332,17.018227,10380.0,14.7074,1.394,2.310826,,,0,,,,,,,0.00279,0.005735,0.004047,15.804748,0.00279,8975.27,0.015,0.4563,0.4904,-0.19,0.107327
PMI23033-5311,23:03:23.47,345.84779166666664,-53:11:23.1,-53.18975,0.148,-0.107,14.01,1.76,PMI23034-5311,23:03:25.79,345.85745833333334,-53:11:43.2,-53.19533333333333,0.153,-0.098,18.94,3.63,29.0,345.8574051425,-53.19536838525,0.0026802,0.0022573,154.63,6500368376125488512,345.85857038602,0.1074,-53.19578570214,0.1301,2.1596,0.1918,11.262,182.994,157.069,0.148,-93.895,0.163,644,37.7762,3308.56,1.712,55.29,31,,,27,2.225,false,1480.26,6.30682,17.761518,451.507,6.18342,18.701881,1785.85,16.61828,1.511,2.083601,,,0,,,,,489545250,,0.005384,0.015129,0.006899,17.761518,0.005384,1480.26,0.165,2.3407,2.6077,-0.1325,0.170538
NLTT57827,23:44:27.89,356.1162083333333,-30:55:16.9,-30.92136111111111,0.19,-0.196,16.96,2.09,NLTT57823,23:44:24.90,356.10375,-30:55:26.2,-30.923944444444448,0.19,-0.201,18.17,2.77,39.5,356.1040202668,-30.92397918797,0.0016634,9.128E-4,24.92,2327271838004071168,356.10501434496,0.0631,-30.92487539753,0.0853,2.1533,0.0942,22.864,278.346,191.873,0.066,-201.646,0.095,401,0.5859,431.34,0.0,0.0,31,,,17,1.02,false,1691.17,1.54286,17.6169,542.38,7.63064,18.502783,1646.02,16.706808,1.294,1.795975,,,0,,,70893561049250545,,3057866,,0.002928,0.015528,0.007711,17.6169,0.002928,1691.17,-0.013,1.0847,1.5569,0.4375,0.843974
